A0A098	0005515
A0A181	0016608
A0A1F4	0005201
A0A1F4	0005515
A0A4W4	0005515
A0A4W4	0005515
A0A4W4	0005515
A0A4W4	0042802
A0A4X8	0005515
A0A4X8	0005515
A0A4Z3	0016757
A0A8M2	0003723
A0A8M2	0017151
A0AAR7	0004683
A0AAR7	0009931
A0AQH0	0004175
A0AR23	0004842
A0AR23	0005515
A0AR23	0005515
A0AR23	0005515
A0AR23	0005515
A0AR23	0042803
A0AR23	0004842
A0AUK1	0008599
A0AUV2	0005515
A0AUV3	0004672
A0AUV3	0004702
A0AUV3	0005515
A0AVK6	0001047
A0AVK6	0003700
A0AVT1	0005515
A0AVT1	0019780
A0FDS8	0005515
A0FDS8	0005515
A0FJH7	0004904
A0FJH7	0004904
A0FJH7	0004904
A0FLF1	0005515
A0FLF1	0005515
A0FLF1	0005515
A0JC64	0005515
A0JC64	0005515
A0JLM4	0001515
A0JLM4	0001515
A0JLM4	0017124
A0JLM6	0003682
A0JLM6	0036033
A0JLM8	0005515
A0JLM8	0005515
A0JLM8	0070064
A0JLN0	0003682
A0JLN0	0005515
A0JLN0	0005515
A0JLN2	0005515
A0JLN2	0005515
A0JLN2	0005515
A0JLN2	0016301
A0JLN2	0016538
A0JLN2	0019901
A0JLP7	0000976
A0JLP7	0001047
A0JLP7	0003700
A0JLP7	0005515
A0JLP7	0005515
A0JLP7	0005515
A0JLP8	0001085
A0JLP8	0001085
A0JLQ6	0004842
A0JLQ6	0005515
A0JLQ6	0031624
A0JLR3	0003725
A0JLR3	0005515
A0JLR6	0005515
A0JLR6	0005515
A0JLS7	0004842
A0JLS7	0005515
A0JLT5	0005515
A0JLT5	0005515
A0JLY3	0008233
A0JNR9	0005515
A0JNT1	0005515
A0JNT9	0017137
A0JNT9	0034452
A0JNY3	0008092
A0JNY7	0005515
A0JNY9	0003720
A0JNY9	0005515
A0JNZ0	0004842
A0JNZ0	0004842
A0JNZ0	0005515
A0JNZ0	0005515
A0JNZ0	0005515
A0JNZ0	0005515
A0JNZ0	0005515
A0JNZ0	0005515
A0JNZ0	0005515
A0JNZ0	0005515
A0JNZ0	0019871
A0JNZ0	0070064
A0JNZ0	0070064
A0JNZ0	0070064
A0JNZ1	0016303
A0JNZ1	0016303
A0JNZ1	0043560
A0JNZ1	0043560
A0JP44	0016409
A0JQ75	0004127
A0JQ75	0009041
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MEB5	0005515
A0MES8	0003677
A0MES8	0043565
A0MES8	0044212
A0MTA1	0016491
A0MTM0	0005198
A0MZ67	0005515
A0N0C8	0001012
A0N0C8	0003677
A0N0C8	0003677
